# Genetic map for GigaMUGA chromosome Y
# nrow 33
# ncol  3 
marker,chr,pos
JAX00725015,Y,NA
JAX00725023,Y,NA
JAX00725024,Y,NA
JAX00725068,Y,NA
JAX00725028,Y,NA
JAX00725029,Y,NA
JAX00725030,Y,NA
JAX00725069,Y,NA
JAX00725070,Y,NA
JAX00725031,Y,NA
JAX00725032,Y,NA
JAX00725071,Y,NA
JAX00725036,Y,NA
JAX00725040,Y,NA
JAX00725041,Y,NA
JAX00725078,Y,NA
JAX00725043,Y,NA
JAX00725081,Y,NA
JAX00725048,Y,NA
JAX00725049,Y,NA
JAX00725083,Y,NA
JAX00725085,Y,NA
JAX00725087,Y,NA
JAX00725057,Y,NA
UNCHS049772,Y,NA
JAX00723350,Y,NA
PARv2S07,Y,NA
UNC31596388,Y,NA
UNC31596457,Y,NA
JAX00187253,Y,NA
UNCHS049774,Y,NA
JAX00723356,Y,NA
PARv2S08,Y,NA
