# Physical map for GigaMUGA chromosome Y
# nrow 33
# ncol  3 
marker,chr,pos
JAX00725015,Y,0.727664
JAX00725023,Y,0.973346
JAX00725024,Y,0.992334
JAX00725068,Y,0.992578
JAX00725028,Y,0.99327
JAX00725029,Y,0.99376
JAX00725030,Y,0.994094
JAX00725069,Y,0.994489
JAX00725070,Y,0.99458
JAX00725031,Y,0.994627
JAX00725032,Y,1.029583
JAX00725071,Y,1.042488
JAX00725036,Y,1.22476
JAX00725040,Y,1.339067
JAX00725041,Y,1.339798
JAX00725078,Y,1.446671
JAX00725043,Y,1.448961
JAX00725081,Y,2.001025
JAX00725048,Y,2.267638
JAX00725049,Y,2.273928
JAX00725083,Y,2.27756
JAX00725085,Y,2.353796
JAX00725087,Y,2.385679
JAX00725057,Y,2.739331
UNCHS049772,Y,90.746535
JAX00723350,Y,90.751562
PARv2S07,Y,90.753183
UNC31596388,Y,90.767683
UNC31596457,Y,90.78042
JAX00187253,Y,90.836072
UNCHS049774,Y,90.837691
JAX00723356,Y,90.839126
PARv2S08,Y,90.840712
