# Physical map for GigaMUGA chromosome 9
# nrow 5953
# ncol  3 
marker,chr,pos
JAX00684524,9,3.131611
UNCHS024588,9,3.204502
JAX00684532,9,3.217889
JAX00167608,9,3.259955
UNCHS024590,9,3.325375
UNCHS024591,9,3.347157
JAX00684548,9,3.369866
UNCHS024594,9,3.410051
JAX00167620,9,3.412563
UNCHS024596,9,3.428245
JAX00684562,9,3.577619
ICR2066,9,3.639689
ICR5908,9,3.639689
UNCHS024597,9,3.701113
JAX00684572,9,3.701161
ICR5910,9,3.792764
JAX00684585,9,3.850079
JAX00167652,9,3.858409
JAX00167658,9,3.922592
UNC15757273,9,3.976356
UNCHS024599,9,3.998517
UNCHS024600,9,4.000721
ICR5913,9,4.055703
JAX00684615,9,4.127793
JAX00684618,9,4.149182
ICR1915,9,4.238225
JAX00684627,9,4.310628
ICR5916,9,4.338486
JAX00167690,9,4.37413
ICR5917,9,4.42186
UNCHS024603,9,4.424004
UNCHS024604,9,4.427502
UNCHS024605,9,4.431328
UNCHS024606,9,4.436953
UNCHS024607,9,4.463743
UNCHS024608,9,4.466809
UNCHS024612,9,4.485819
UNCHS024613,9,4.529369
UNCHS024614,9,4.531563
JAX00684674,9,4.696617
UNC15764454,9,4.75389
JAX00167719,9,4.761699
JAX00684709,9,4.936933
UNC15767595,9,4.992363
UNCHS024615,9,5.017137
UNCHS024616,9,5.021104
UNC15769082,9,5.091498
JAX00684729,9,5.092833
UNCHS024617,9,5.167059
UNCHS024620,9,5.172646
JAX00167750,9,5.181424
JAX00684749,9,5.254581
JAX00167764,9,5.375669
UNC15774169,9,5.417531
UNC15775930,9,5.557393
JAX00167780,9,5.579627
JAX00167787,9,5.668818
UNC15777078,9,5.671004
JAX00684813,9,5.672553
UNCHS024621,9,5.717472
UNCHS024623,9,5.755299
UNC15778680,9,5.768864
JAX00684824,9,5.793024
UNC15781460,9,5.942961
UNCHS024625,9,5.999541
UNCHS024626,9,6.003274
JAX00684853,9,6.011446
UNCHS024627,9,6.031614
UNCHS024628,9,6.04095
UNC15783527,9,6.066256
JAX00684874,9,6.151197
JAX00167829,9,6.232456
B6_09-006238770-S,9,6.23877
UNCHS024629,9,6.239837
UNCHS024630,9,6.248473
UNCHS024631,9,6.273768
UNCHS024632,9,6.277067
UNC15786943,9,6.29874
UNC15788606,9,6.399613
UNCHS024633,9,6.456577
UNCHS024634,9,6.461336
JAX00684937,9,6.504503
UNCHS024635,9,6.535252
UNCHS024636,9,6.537885
UNCHS024638,9,6.5657
JAX00684969,9,6.667519
UNC15793828,9,6.814853
JAX00684990,9,6.889427
UNC15795926,9,6.965974
JAX00685006,9,6.99103
JAX00167888,9,7.009414
UNCHS024639,9,7.052871
UNCHS024640,9,7.05607
UNC15796994,9,7.108483
UNCHS024641,9,7.167357
UNCHS024642,9,7.174351
UNCHS024643,9,7.1853
UNCHS024644,9,7.18784
UNC15798012,9,7.240396
JAX00685050,9,7.290827
UNCHS024645,9,7.316787
JAX00167917,9,7.458851
UNC15800640,9,7.550116
UNCHS024648,9,7.592737
UNCHS024649,9,7.626854
UNCHS024653,9,7.681856
JAX00685128,9,7.683168
JAX00685131,9,7.73453
UNC15803388,9,7.753359
UNCHS024657,9,7.780971
UNCHS024656,9,7.78638
UNCHS024658,9,7.791167
UNC15805511,9,7.928928
UNCHS024659,9,7.966565
UNCHS024660,9,7.973989
JAX00685185,9,7.986851
UNCHS024662,9,7.99887
UNC15806186,9,8.006316
ICR1923,9,8.045081
JAX00685209,9,8.106198
UNCHS024663,9,8.130267
UNCHS024664,9,8.132454
ICR1924,9,8.140898
UNC15807767,9,8.157066
UNC15809310,9,8.306921
ICR1926,9,8.341631
ICR1927,9,8.395881
UNC15810364,9,8.400675
JAX00685274,9,8.500254
UNC15812125,9,8.559373
UNC15812808,9,8.637372
JAX00685286,9,8.651406
JAX00685287,9,8.658063
JAX00685317,9,8.830335
JAX00685330,9,8.897206
JAX00724844,9,8.922366
JAX00685337,9,8.929841
UNC15818423,9,9.076572
UNCHS024667,9,9.136824
UNCHS024668,9,9.141014
JAX00685399,9,9.198601
UNC15821079,9,9.245509
JAX00168049,9,9.261076
JAX00685415,9,9.261989
JAX00168057,9,9.342457
JAX00168057r,9,9.342457
JAX00685437,9,9.361708
CEAJAX00685441,9,9.365178
UNC15823592,9,9.425197
JAX00168064,9,9.455736
JAX00168066,9,9.455805
CEAJAX00685488,9,9.59327
UNC15826062,9,9.627165
UNCHS024670,9,9.736972
JAX00685512,9,9.768538
JAX00168089,9,9.787958
JAX00168090,9,9.78811
UNC15829659,9,9.85528
UNC15831235,9,9.989363
UNCHS024671,9,10.095322
UNCHS024673,9,10.103513
UNCHS024674,9,10.1074
UNCHS024675,9,10.153418
UNC15834149,9,10.246198
JAX00168126,9,10.26701
UNCHS024677,9,10.267881
UNCHS024678,9,10.272652
UNCHS024679,9,10.31978
UNCHS024680,9,10.322688
UNC15835273,9,10.353284
UNCHS024681,9,10.367532
UNCHS024682,9,10.369726
UNC15836118,9,10.421557
JAX00685640,9,10.516513
UNC15837557,9,10.562429
UNC15839503,9,10.719299
UNC15840146,9,10.772052
UNC15840513,9,10.81867
JAX00685698,9,10.878834
UNC15842314,9,10.983174
UNCHS024683,9,11.141811
UNCHS024684,9,11.144458
JAX00685729,9,11.146548
UNC15844601,9,11.184571
JAX00685738,9,11.235575
UNC15845746,9,11.23916
UNCHS024685,9,11.240403
UNCHS024686,9,11.250491
UNCHS024687,9,11.278018
UNCHS024688,9,11.28036
JAX00685761,9,11.348165
UNC15847891,9,11.395213
JAX00685771,9,11.431936
UNC15848534,9,11.46613
JAX00685776,9,11.512206
UNC15848997,9,11.528234
JAX00168224,9,11.579279
UNCHS024690,9,11.581002
UNC15849627,9,11.60249
JAX00236129,9,11.63735
JAX00236129r,9,11.63735
JAX00168230,9,11.6595
UNC15850312,9,11.673917
UNC15850856,9,11.739642
JAX00685834,9,11.972356
JAX00168253,9,11.976564
UNC15853462,9,12.018062
UNCHS024692,9,12.053592
UNC15854181,9,12.09493
UNCHS024693,9,12.390647
UNCHS024694,9,12.400659
UNC15857086,9,12.433131
JAX00685900,9,12.499046
UNC15857881,9,12.502943
JAX00685913,9,12.595423
UNCHS024695,9,12.629781
UNCHS024696,9,12.641811
UNC15859395,9,12.646931
UNC15860091,9,12.709111
JAX00685940,9,12.788827
UNCHS024699,9,12.831964
UNCHS024701,9,12.833401
UNCHS024700,9,12.836042
UNCHS024702,9,12.837939
UNC15861174,9,12.854621
JAX00685952,9,12.914662
UNC15861633,9,12.922431
JAX00168326,9,12.937145
UNC15863009,9,13.034321
JAX00685971,9,13.0492
UNCHS024703,9,13.061177
UNCHS024704,9,13.064214
UNC15863806,9,13.126849
UNCHS024705,9,13.442519
UNCHS024706,9,13.44554
JAX00685996,9,13.450098
JAX00168346,9,13.46006
UNC15865229,9,13.531173
UNCHS024707,9,13.538755
UNCHS024709,9,13.540071
UNCHS024710,9,13.544256
UNC15865886,9,13.585944
UNC15866727,9,13.662127
UNCHS024711,9,13.663288
