# Genetic map for GigaMUGA chromosome 5
# nrow 6649
# ncol  3 
marker,chr,pos
ICR1522,5,0.00726741491525915
UNCHS013411,5,0.00740213269530726
UNCHS013412,5,0.00888352746624514
ICR5524,5,0.0202921368916075
UNC8539874,5,0.0361357491206105
ICR1527,5,0.041645322370558
ICR5527,5,0.0446515154103427
ICR1528,5,0.050761893233268
ICR1529,5,0.0561041960797357
JAX00572244,5,0.0602418849227001
UNCHS013415,5,0.0608032814841619
UNCHS013416,5,0.0613560253301358
ICR5530,5,0.0689993983453728
ICR1531,5,0.0757995574636514
UNCHS013418,5,0.0903755633861097
UNC8542083,5,0.101606423834385
JAX00126493,5,0.111995042670391
JAX00126493q,5,0.111995042670391
UNC8542757,5,0.114320747647646
JAX00572282,5,0.120572114112276
UNCHS013419,5,0.125103875116495
UNCHS013420,5,0.125208080511374
JAX00126504,5,0.125860768445264
UNC8543985,5,0.126229427515238
UNCHS013421,5,0.127706075805977
UNCHS013422,5,0.127942277495494
UNCHS013424,5,0.128998918522886
JAX00572303,5,0.129371392030082
UNCHS013425,5,0.133214081237677
UNCHS013426,5,0.133315771619003
UNC8545548,5,0.133971267984694
JAX00572335,5,0.134854331160037
UNCHS013428,5,0.135983320743969
UNCHS013429,5,0.136759915012236
UNC8546898,5,0.137963097495981
UNCHS013431,5,0.137973492885334
JAX00572362,5,0.137990343476138
UNCHS013433,5,0.138472094322211
UNCHS013434,5,0.138585563350343
JAX00126530,5,0.139922041552396
UNCHS013435,5,0.140155183308757
UNCHS013436,5,0.140414648873639
JAX00572406,5,0.145062435836436
UNC8549503,5,0.147256114491129
JAX00572431,5,0.1480506911063
UNCHS013437,5,0.148640880953399
UNCHS013438,5,0.148781344460333
UNCHS013439,5,0.150642538323322
UNCHS013440,5,0.150788576776965
UNC8551116,5,0.151895308490953
CEAJAX00126552,5,0.152203397651193
UNCJPD008200,5,0.153096814298996
UNC8551996,5,0.154903055115852
JAX00572486,5,0.157505968392507
JAX00572486r,5,0.157505968392507
UNCHS013441,5,0.179007531080113
ICR1532,5,0.189072960012703
ICR5532,5,0.192040989848257
JAX00572500,5,0.202312521813013
UNCHS013443,5,0.220422546756424
UNC8554223,5,0.221431866924584
UNCHS013444,5,0.222534737405217
JAX00572508,5,0.225373459390065
ICR1533,5,0.22801972138585
ICR5533,5,0.228449203672476
JAX00126578,5,0.229189215425816
UNC8555119,5,0.229738902667298
ICR1534,5,0.2332823193522
ICR5534,5,0.233287265285238
UNC8556320,5,0.2364763277803
JAX00225272,5,0.237979453176742
ICR1535,5,0.239769254869169
ICR5535,5,0.239810575322401
ICR1536,5,0.288596104299184
UNC8559748,5,0.325778988236034
ICR1537,5,0.332194429251782
ICR5537,5,0.33223216998632
JAX00572632,5,0.342156531602884
UNCHS013445,5,0.389953673599926
ICR1538,5,0.405705929818884
UNCHS013446,5,0.406265901832851
UNC8561659,5,0.484766157238824
JAX00572660,5,0.486181652704216
ICR5539,5,0.489235353188003
JAX00572671,5,0.4944716484005
ICR1540,5,0.499172084079376
ICR5540,5,0.499567041537701
UNC8564033,5,0.499934250228461
UNCHS013449,5,0.502369872608068
UNCHS013450,5,0.502655068274696
UNCHS013451,5,0.50735992320174
ICR1541,5,0.507696197155327
UNCHS013452,5,0.507723534830038
JAX00572722,5,0.508079130147708
UNC8565506,5,0.509642516266893
UNCHS013454,5,0.509642516266893
JAX00572728,5,0.514943866923345
JAX00572735,5,0.519229068086001
UNCHS013455,5,0.52801105318721
UNCHS013456,5,0.529929528275233
UNC8567265,5,0.533369552570998
ICR1542,5,0.548771642956272
ICR5542,5,0.549159220944445
UNCHS013458,5,0.565114741755688
UNC8568633,5,0.565213354950235
UNCHS013459,5,0.569033703153774
UNCHS013460,5,0.569563292531894
JAX00572799,5,0.574311652827107
JAX00572809,5,0.58044329740202
ICR1544,5,0.583758193434478
UNC8570153,5,0.584504064891458
ICR5544,5,0.58453534798216
UNCHS013461,5,0.597467015450579
UNCHS013462,5,0.598043608863458
ICR1546,5,0.644131618667324
