# Genetic map for GigaMUGA chromosome X
# nrow 4041
# ncol  3 
marker,chr,pos
JAX00708539,X,0.0000281019208295438
JAX00708539r,X,0.0000281019208295438
UNCHS048190,X,0.0000285555775443634
JAX00708544,X,0.0000285795373592494
JAX00176643,X,0.0000286160895278739
UNC200000454,X,0.0000286561675555451
JAX00176646,X,0.000029919443930182
JAX00708563,X,0.0000318273114450965
JAX00708563r,X,0.0000318273114450965
JAX00708567,X,0.0000322054827230511
JAX00708578,X,0.0000334510725644827
JAX00176671,X,0.0000339222097558101
JAX00708583,X,0.00855067052432468
UNCHS048192,X,0.0285215240580102
JAX00176676,X,0.0507409752570731
JAX00708591,X,0.0578196439265994
JAX00176680,X,0.0683045732758945
JAX00176681,X,0.0684139321531988
UNC30610687,X,0.170008329168961
UNC30610936,X,0.192282851032812
UNCHS048193,X,0.202559645744656
JAX00708618,X,0.203518593749406
JAX00176698,X,0.208616716465031
UNC30611222,X,0.216291828208747
JAX00708628,X,0.22838127570946
JAX00708630,X,0.235740657791282
JAX00708630r,X,0.235740657791282
UNC30611560,X,0.245339269189835
UNCHS048195,X,0.272444255595441
UNCHS048196,X,0.285056281700478
UNC30611835,X,0.355539328414392
JAX00176704,X,0.375032937123314
UNC30612242,X,0.388435543740069
UNC30612502,X,0.392028454079261
UNCHS048197,X,0.396134029088407
UNC30612732,X,0.396355536033751
UNCHS048198,X,0.396768528036825
UNCHS048199,X,0.397301716760856
UNCHS048201,X,0.397500188730613
UNCHS048200,X,0.397629555773606
UNCHS048202,X,0.39780117180026
JAX00176716,X,0.400621591678508
UNCHS048204,X,0.424818766139675
JAX00708647,X,0.448546506881137
UNCHS048205,X,0.501406880974154
UNCHS048206,X,0.527124445229989
UNC30613121,X,0.621957399639527
JAX00708653,X,0.742453489839687
JAX00708655,X,0.744012445145289
JAX00708656,X,0.7440152835783
JAX00708668,X,0.750256670257585
UNC30613748,X,0.751253942778885
UNC30613972,X,0.754896416525266
UNC30614256,X,0.760312282538555
JAX00708680,X,0.766899410997268
UNC30614439,X,0.781580102359842
UNC30614443,X,0.817939722032571
JAX00708681,X,0.827432787823843
UNCHS048210,X,0.834527841181807
UNC30614651,X,0.841425649166378
UNC30615033,X,0.873625775745237
JAX00708697,X,0.886526201173592
UNCHS048211,X,0.888229880992134
UNCHS048212,X,0.890742050088431
UNC30615269,X,0.890830196372512
UNCHS048213,X,0.898988726209603
UNCHS048214,X,0.89945521175788
UNC30615721,X,0.900308706730133
JAX00176747,X,0.900509034598396
JAX00708711,X,1.13245698159927
JAX00708711r,X,1.13245698159927
UNCHS048215,X,1.15313291039552
UNC30616738,X,1.19190936234349
UNC30616923,X,1.24098454971008
JAX00176764,X,1.25937142221364
UNC30617733,X,1.26279075145717
UNC30618178,X,1.43987830230299
JAX00176768,X,1.44405333657443
UNCHS048217,X,1.47780501643609
UNC30618375,X,1.53785773884737
UNC30618429,X,1.56324679996295
UNCHS048219,X,1.56324679996295
UNCHS048220,X,1.57835724464073
UNC30618581,X,1.64835391140391
UNC30618863,X,1.82895970255262
JAX00176775,X,1.84051929417892
UNC30619041,X,1.84276602307748
JAX00708748,X,1.84364779320934
JAX00708750,X,1.8436616578629
JAX00708750q,X,1.8436616578629
UNC30619220,X,1.8457356790298
JAX00708760,X,1.90643962598759
UNC30619621,X,1.90669140050296
UNC30620013,X,1.96264536862805
UNC30620339,X,2.00756794474182
JAX00176788,X,2.02695124766375
UNCHS048221,X,2.0442968536394
UNC30620787,X,2.05602284154795
UNC30621040,X,2.07634447714246
JAX00708789,X,2.08719656339623
UNC30621363,X,2.10652899861612
UNC30621909,X,2.17775492354538
UNC30622200,X,2.21285611629417
UNC30622505,X,2.32664145224471
UNC30623235,X,2.48603463616413
JAX00708820,X,2.57546613970539
UNC30623418,X,2.57563193004615
JAX00708821,X,2.57571910968601
UNC30623801,X,2.6399477027216
JAX00176819,X,2.69622058210634
UNCHS048224,X,2.70280438354103
UNC30624751,X,2.70640541703087
UNC30625209,X,2.72307215490282
JAX00176828,X,2.72581970260592
UNC30625391,X,2.72822100827329
JAX00708849,X,2.74213915711271
JAX00708851,X,2.74368344865855
UNC30626136,X,2.79932343477794
UNC30626502,X,2.87317261659337
UNC30626663,X,2.87922352158326
UNCHS048225,X,2.98454130138128
JAX00176860,X,3.16031876483391
UNC30627439,X,3.16994807697848
JAX00176890,X,3.46224508830851
JAX00708930,X,3.46317165465701
JAX00708931,X,3.46812155237286
JAX00708932,X,3.46855443913975
JAX00708946,X,3.55706565847474
UNC30629851,X,3.61876733112327
JAX00708954,X,3.90646020075515
UNCHS048229,X,3.92322940588886
UNCHS048230,X,3.95428810250045
JAX00176908,X,4.0564890967967
UNC30630586,X,4.14615320698471
UNCHS048233,X,4.15606370149756
JAX00708966,X,4.15609091506963
JAX00708967,X,4.15613025068128
JAX00708968,X,4.1562921897402
JAX00708968r,X,4.1562921897402
UNC30631685,X,4.15727167494484
UNCHS048236,X,4.15921551314365
JAX00708991,X,4.16300389457949
JAX00176930,X,4.16467559705758
JAX00709000,X,4.16537241094336
UNCHS048237,X,4.1674244119047
UNCHS047602,X,4.16756906281993
JAX00709012,X,4.17038759973361
JAX00176943,X,4.17195931572418
JAX00176944,X,4.17250118716448
JAX00709032,X,4.1772635863148
UNC30634815,X,4.17781893693669
JAX00709034,X,4.18487298874289
UNCHS048239,X,4.18894725747044
JAX00176957,X,4.18941241722156
UNCHS048240,X,4.18964399199826
UNC30635548,X,4.18975013043758
JAX00709038,X,4.19086056365501
JAX00709041,X,4.19218139756655
UNC_rs50627251,X,4.20303472305297
JAX00709051,X,4.20765616759838
JAX00709051r,X,4.20765616759838
JAX00176974,X,4.21442463731596
JAX00709061,X,4.21911978911089
JAX00709065,X,4.22239064881859
JAX00176979,X,4.22304677735257
JAX00709066,X,4.22399773488466
JAX00176982,X,4.22987193464569
JAX00176982q,X,4.22987193464569
UNCHS048241,X,4.23329650747194
JAX00709076,X,4.23426073230895
JAX00709076r,X,4.23426073230895
UNCHS048243,X,4.23581461514219
UNCHS048244,X,4.23614482362007
UNC30638980,X,4.23787091339084
UNCHS048246,X,4.2391894690783
backupUNC200004813,X,4.36937601779401
JAX00176996,X,4.36945361142578
JAX00709094,X,4.36954621453383
JAX00176999,X,4.37866254680652
JAX00709104,X,4.41341888837376
UNC30641410,X,4.50896031908404
UNCHS048247,X,4.57068155092509
UNCHS048248,X,4.57611718354443
JAX00709117,X,4.64646587628701
JAX00709118,X,4.64705728374804
JAX00177011,X,4.67523663101098
JAX00709121,X,4.67714543060886
UNCHS048249,X,4.69093983700519
UNCHS048250,X,4.70309337331529
UNC30642287,X,4.72474968768993
UNC30642514,X,4.75938552225383
JAX00709125,X,4.76389910402723
UNC30642753,X,4.79884725879111
UNCHS048251,X,4.82045284095053
UNCHS048252,X,4.82571155213506
UNC30642921,X,4.83401419623316
UNC30643162,X,4.86736111545397
UNCHS048253,X,4.86864210388843
UNCHS048254,X,4.88000453471735
UNCHS048256,X,4.90207815309869
JAX00709135,X,4.90404640310309
backupUNC200249354,X,4.91345450422955
UNC30643849,X,4.93529136771371
UNC30643986,X,4.95014362157342
UNC30644141,X,5.04433751619699
UNC30644302,X,5.32528045150147
UNCHS048257,X,5.38988207468635
UNC30644851,X,5.53164750816734
JAX00709157,X,5.53854737941727
UNC30645093,X,5.55845331362843
JAX00177039,X,5.56144246373925
JAX00709164,X,5.60110387158552
JAX00177043,X,5.61912528708168
UNC30645640,X,5.63738493182324
UNC30645817,X,5.78587136723767
UNCHS048260,X,5.78752016438353
UNC30645925,X,5.80136629889436
UNC30646217,X,5.83315736477518
JAX00177052,X,5.87420677143549
UNC30646629,X,5.90075554007917
UNC30646731,X,5.92056869026843
UNC30647009,X,5.95199363541421
UNC30647206,X,5.97779511653018
UNC30647370,X,6.0072816279212
UNCHS048261,X,6.02812920003487
JAX00177059,X,6.03264804058899
JAX00177060,X,6.03341942718316
UNC30647623,X,6.03905445029688
JAX00709197,X,6.04431950985646
UNCHS048264,X,6.05910169308935
UNC30647814,X,6.06280636214848
UNC30648078,X,6.09362088907556
JAX00709206,X,6.10793727713047
UNC30648264,X,6.11868593737009
UNC30648327,X,6.12706246937066
UNC30648386,X,6.13511479584196
UNCHS048265,X,6.13511479584196
UNCHS048266,X,6.25871261221781
UNC30648539,X,6.30297918168893
UNC30648622,X,6.35261590236503
UNCHS048267,X,6.40901793633589
UNC30648744,X,6.41266547530561
UNCHS048268,X,6.41297583814385
UNC30648920,X,6.50730598753816
UNC30649018,X,6.64268965128476
UNC30649084,X,6.66501360686397
UNC30649204,X,6.68853064556162
JAX00177076,X,6.69363447265056
UNC30649376,X,6.73591175277881
UNC30649432,X,6.75085998911993
UNC30649553,X,6.78483364124357
UNC30649629,X,6.80849279705023
UNC30649708,X,6.8326146871345
UNC30649860,X,6.87838486471307
UNC30649957,X,6.90472659988024
UNC30650037,X,6.93573192889591
JAX00177083,X,6.9504136132338
JAX00709239,X,6.98743561969612
UNC30650252,X,7.00357298958989
