# Founder genotypes (A/B/-) for GigaMUGA chromosome Y
# nrow 33
# ncol  9 
marker,A,B,C,D,E,F,G,H
JAX00725015,B,B,B,B,B,B,A,B
JAX00725023,B,B,B,A,B,B,B,A
JAX00725024,A,A,A,B,A,A,A,B
JAX00725068,A,A,A,B,A,A,A,B
JAX00725028,A,A,A,B,A,A,A,B
JAX00725029,B,B,B,A,B,B,B,A
JAX00725030,B,B,B,A,B,B,B,A
JAX00725069,B,B,B,B,B,B,B,A
JAX00725070,A,B,B,B,B,B,B,B
JAX00725031,B,B,B,A,B,B,B,A
JAX00725032,A,A,A,B,A,B,B,B
JAX00725071,B,B,B,A,B,A,A,A
JAX00725036,B,B,B,A,B,B,B,A
JAX00725040,B,B,B,B,B,A,B,B
JAX00725041,B,B,B,A,B,B,B,A
JAX00725078,B,B,B,B,B,A,B,B
JAX00725043,B,B,B,B,B,B,A,B
JAX00725081,B,B,B,A,B,B,B,A
JAX00725048,A,A,A,B,A,A,A,B
JAX00725049,A,A,A,B,A,A,A,B
JAX00725083,A,A,A,A,A,A,A,B
JAX00725085,A,A,A,A,A,A,B,A
JAX00725087,B,B,B,A,B,B,B,A
JAX00725057,A,A,A,A,A,A,B,A
UNCHS049772,B,-,-,-,B,-,-,A
JAX00723350,A,A,A,A,B,-,A,A
PARv2S07,A,A,A,A,A,B,A,A
UNC31596388,A,B,B,B,B,B,B,B
UNC31596457,B,B,B,B,B,A,B,B
JAX00187253,B,-,A,B,B,-,-,-
UNCHS049774,A,A,B,A,B,B,A,A
JAX00723356,A,B,B,B,B,-,B,B
PARv2S08,B,-,B,A,A,-,B,-
