# Physical map for GigaMUGA chromosome M
# nrow 25
# ncol  3 
marker,chr,pos
Mit001,M,0.000055
Mit002,M,0.000055
Mit003,M,0.000165
Mit004,M,0.000348
Mit006,M,0.000572
Mit007,M,0.000817
Mit027,M,0.00159
Mit009,M,0.001756
Mit010,M,0.002185
Mit011,M,0.00234
Mit012,M,0.002615
Mit028,M,0.002934
Mit029,M,0.004123
Mit013,M,0.004947
Mit015,M,0.009434
Mit030,M,0.009461
Mit018,M,0.009985
Mit019,M,0.012522
Mit020,M,0.012889
Mit031,M,0.012889
Mit021,M,0.01384
Mit0041,M,0.015447
Mit0042,M,0.0155
Mit0050,M,0.016252
Mit0051,M,0.016272
